,0
settler,pmac135
builder,buzzsnuzz
mayor,Airjoe
craftsman,buzzsnuzz
trader,Airjoe
settler,pmac135
captain,Airjoe
mayor,pmac135
settler,buzzsnuzz
builder,pmac135
craftsman,buzzsnuzz
mayor,Airjoe
trader,buzzsnuzz
mayor,Airjoe
settler,pmac135
captain,Airjoe
craftsman,pmac135
builder,buzzsnuzz
trader,pmac135
mayor,buzzsnuzz
settler,Airjoe
captain,buzzsnuzz
builder,Airjoe
settler,pmac135
builder,Airjoe
captain,pmac135
craftsman,buzzsnuzz
captain,pmac135
craftsman,buzzsnuzz
trader,Airjoe
captain,buzzsnuzz
trader,Airjoe
mayor,pmac135
settler,Airjoe
builder,pmac135
captain,buzzsnuzz
mayor,pmac135
craftsman,buzzsnuzz
trader,Airjoe
captain,buzzsnuzz
builder,Airjoe
trader,pmac135
builder,Airjoe
captain,pmac135
mayor,buzzsnuzz
